"","text_prepared.1","text_prepared.2","text_prepared.3","text_prepared.4","text_prepared.5","text_prepared.6","text_prepared.7","text_prepared.8","text_prepared.9","text_prepared.10","text_prepared.11","text_prepared.12","text_prepared.13","text_prepared.14","text_prepared.15","text_prepared.16","text_prepared.17","text_prepared.18","text_prepared.19","text_prepared.20","text_prepared.21","text_prepared.22","text_prepared.23","text_prepared.24","text_prepared.25","text_prepared.26","text_prepared.27","text_prepared.28","text_prepared.29","text_prepared.30","text_prepared.31","text_prepared.32","text_prepared.33","text_prepared.34","text_prepared.35","text_prepared.36","text_prepared.37","text_prepared.38","text_prepared.39","text_prepared.40","text_prepared.41","text_prepared.42","text_prepared.43","text_prepared.44","text_prepared.45","text_prepared.46","text_prepared.47","text_prepared.48","text_prepared.49","text_prepared.50","text_prepared.51","text_prepared.52","text_prepared.53","text_prepared.54","labels"
"labels8481",0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,458,162,1,133,1110,1259,8,28,1517,2,40,13,179,2,41,2300,3,339,45,463,164,21,150,1683,21,417,87,55,3,1,266,15,13,29,244,334,630,5,304,1
"labels8482",0,0,0,0,0,0,0,0,0,458,162,1,133,1110,1259,8,28,1517,2,40,13,179,2,41,2300,3,339,45,463,164,21,150,1683,21,417,87,55,3,1,266,15,13,29,244,334,630,5,304,6716,590,6249,2241,574,31,1
"labels8483",3,404,41,2,179,3,537,574,31,1197,1664,2,785,25,7,319,254,469,1336,4718,5,41,1696,2,2013,9,7,49,233,2,1148,28,814,1626,4,805,2,205,48,1499,3,210,23,1314,1348,2,76,78,21,3,16,24,419,1660,1
"labels8484",6,66,8,6,260,886,10,7,2534,1,969,14,1,558,178,9,7,1175,169,1097,2,1,639,46,174,6,2712,4,6,42,31,98,4,1,113,2,68,1,160,4,281,2079,1470,3669,32,6,66,8,307,215,12338,11,9430,14561,1
"labels8485",0,9,7,207,685,482,2,1096,26,13,6,38,8,1069,848,13,1549,2,321,125,198,724,33,91,960,9,7,990,87,55,3,431,377,30,493,2,5889,9,7,743,1,3817,811,4,1,3660,69,61,23,180,3,4139,788,1188,1
"labels8486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,1463,3,1,46,52,9,7,1175,1,58,639,46,1128,42,3158,29,558,4,334,72,63,9,7,1950,169,1097,1128,6,178,4,237,1644,334,72,63,1
"labels8487",0,0,0,0,9,7,1175,1,58,639,46,1128,42,3158,29,558,4,334,72,63,9,7,1950,169,1097,1128,6,178,4,237,1644,334,72,63,9,7,68,1,46,52,1295,15,215,1429,163,1807,101,334,27,1,4020,889,4121,872,1
"labels8488",0,0,671,10,1036,9,7,87,304,14,671,15,334,115,3,762,27,6,2179,237,2923,36,52,413,802,671,9,7,1041,98,133,1073,56,33,6,294,4,820,6,2712,4,6,42,24,31,284,63,2,68,2092,681,133,8,616,1
"labels8489",2179,237,2923,36,52,413,802,671,9,7,1041,98,133,1073,56,33,6,294,4,820,6,2712,4,6,42,24,31,284,63,2,68,2092,681,133,8,616,9,7,207,237,2923,76,3,614,56,136,900,502,2,409,13,1,14112,479,1
"labels8490",0,0,0,0,0,0,9,7,207,237,2923,76,3,614,56,136,900,502,2,409,13,1,14112,479,9,7,2486,244,1373,36,163,61,3131,1066,4600,5727,2,3273,36,1190,9,7,87,1,256,36,56,220,5,63,103,15,334,42,1
"labels8491",0,0,0,0,0,0,0,0,9,7,2486,244,1373,36,163,61,3131,1066,4600,5727,2,3273,36,1190,9,7,87,1,256,36,56,220,5,63,103,15,334,42,9,7,3240,29,2980,468,1298,3,132,177,13,6,714,1785,37,349,1
"labels8492",29,2980,468,1298,3,132,177,13,6,714,1785,37,349,2,590,1,330,5806,15,899,6,19,401,468,1298,8,1644,13,608,154,14,468,74,9,7,1175,1,334,1394,8,1,113,4,783,913,2,1,334,72,540,1394,8,6937,56,1
"labels8493",0,0,0,0,0,0,2,590,1,330,5806,15,899,6,19,401,468,1298,8,1644,13,608,154,14,468,74,9,7,1175,1,334,1394,8,1,113,4,783,913,2,1,334,72,540,1394,8,6937,56,9,7,185,5,12,4310,45,1
"labels8494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,185,5,12,4310,45,9,7,30,574,31,15,317,155,82,619,4571,619,2,15,254,244,2264,155,2249,9,7,1088,6,1265,3,1548,1,11576,1296,1
"labels8495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,1088,6,1265,3,1548,1,11576,1296,9,7,87,55,3,1,41,1677,116,222,24,1211,1
"labels8496",0,0,0,0,0,0,0,0,0,0,0,0,0,222,24,1211,9,7,2202,480,8,730,3,408,106,610,4,126,1667,3,6,430,4,25,7,34,6,173,4,33,525,99,1294,2,33,525,160,1439,2,160,1772,126,1294,15,1
"labels8497",4,25,7,34,6,173,4,33,525,99,1294,2,33,525,160,1439,2,160,1772,126,1294,15,9,7,1044,334,115,6,5007,334,115,24,60,1,20,18,359,5,342,304,5,2,402,172,3419,3,34,1,675,4,99,2,325,1211,1
"labels8498",525,160,1439,2,160,1772,126,1294,15,9,7,1044,334,115,6,5007,334,115,24,60,1,20,18,359,5,342,304,5,2,402,172,3419,3,34,1,675,4,99,2,325,1211,9,7,210,28,639,887,46,5084,10,233,4629,8,1069,1
"labels8499",0,9,7,153,1332,1371,15,3352,1332,862,3,1340,9,7,68,29,244,334,42,270,3,58,576,2,1353,552,5,63,103,4,20,3,746,1,2865,5,783,1188,9,7,1594,1,470,663,3,245,4761,14,1481,449,316,9997,15,966,1
"labels8500",15,1357,5,63,103,1099,26,3,1357,47,1,2038,4,20,2,87,1,294,4,1937,218,3,334,72,795,9,7,1160,1134,904,8,749,217,33,334,72,795,5,63,103,2,762,3,334,72,795,334,72,1728,47,1,189,4,20,1
"labels8501",9,7,1160,1134,904,8,749,217,33,334,72,795,5,63,103,2,762,3,334,72,795,334,72,1728,47,1,189,4,20,9,7,40,413,6,2032,473,14531,532,15,21,2325,15,1,277,546,879,10,4,28,10032,2273,2546,1088,2428,1
"labels8502",8,31,13,608,7695,3,1056,126,552,2,179,212,4034,50,17,2714,3,2670,3,1,981,4,6,176,189,4904,9,7,458,2382,579,126,8,31,13,2291,608,2,8,31,50,769,256,1785,5,1,69,2,87,30,8,7745,1188,756,1
"labels8503",579,126,8,31,13,2291,608,2,8,31,50,769,256,1785,5,1,69,2,87,30,8,7745,1188,756,9,7,192,6,266,3,5087,8,4115,1880,50,1439,6,7342,897,1453,13,6,11574,482,85,39,4866,3,1433,193,6,1424,109,6338,1
"labels8504",2,87,30,8,7745,1188,756,9,7,192,6,266,3,5087,8,4115,1880,50,1439,6,7342,897,1453,13,6,11574,482,85,39,4866,3,1433,193,6,1424,109,6338,9,7,1041,98,6,296,117,229,3,68,28,41,206,45,458,7342,897,1
"labels8505",0,0,9,7,192,6,266,3,5087,8,4115,1880,50,1439,6,7342,897,1453,13,6,11574,482,85,39,4866,3,1433,193,6,1424,109,6338,9,7,1041,98,6,296,117,229,3,68,28,41,206,45,458,7342,897,10351,409,8,199,137,1
"labels8506",7781,5,2058,3,75,18,125,178,4941,2,76,3,40,2,48,9,7,990,87,55,3,431,377,30,493,2,5889,2,9,7,367,1,9739,1343,9,7,34,1,106,1351,1,3817,811,4,1,3660,69,61,23,180,3,4139,788,1188,1
"labels8507",0,0,0,0,0,0,0,0,0,0,1,221,886,11,3445,2839,6,155,11,946,98,4,1,918,4,1,558,178,295,4,6,1118,4,126,547,927,9,22,1400,40,208,779,8,1,760,163,50,1316,23,77,627,1,67,479,1
"labels8508",1,760,163,50,1316,23,77,627,1,67,479,1687,24,4,12,140,772,376,17,208,1308,3,8188,393,14,614,10013,5,783,913,2,1687,4,771,4,104,17,208,5022,368,15,966,10,17,4907,3,1259,14,449,294,705,3,1481,2632,1
"labels8509",0,0,0,1,2608,1126,4,451,465,81,1347,1972,2,1,15552,3383,121,1550,122,37,172,5,1099,190,1,67,170,9,17,461,28,23,7651,1202,354,6,15535,4,1,67,479,1,4,41,45,2,6,4305,952,4,67,2,99,1216,1
"labels8510",0,0,0,0,0,0,0,0,0,0,0,0,0,15,2016,12,787,7,16,3,408,1463,1257,2,1138,3,67,89,65,9,7,34,1,64,3723,238,38,1,73,267,216,2,9,7,1171,80,5,184,2,173,6,260,46,52,1
"labels8511",270,47,1,186,315,57,3,185,3332,5,342,251,3,196,2260,4,771,4,77,2,3,3090,5103,120,5,169,126,100,36,790,2,206,12,221,304,7,49,153,77,5,1373,45,2,122,21,6,4308,8,278,583,5,1,179,94,1
"labels8512",0,0,0,0,0,0,0,919,405,5,278,583,12,390,80,5,117,2,41,45,114,21,5,126,36,2,48,7,196,77,47,1,186,315,57,9,7,1361,11536,53,41,1284,3,124,93,3427,25,564,334,115,4308,8,431,93,1
"labels8513",0,0,0,0,0,451,465,18,1117,1791,7,253,24,293,5,1,3063,4,310,2074,397,1,2252,4,293,10,467,2,85,16,1028,14,397,900,502,5,6,879,913,3707,2045,2,563,4163,3,218,75,2,3707,24,9868,2,418,919,1
"labels8514",0,0,0,0,0,0,0,0,0,0,317,1,46,174,9,7,87,1,1200,46,174,15,1402,4016,46,316,114,21,1,4491,46,2,15,899,6,3608,46,9,7,210,28,14365,4221,46,5084,2177,13,6,632,4,179,642,46,5084,1
"labels8515",632,4,179,642,46,5084,9,7,87,99,1413,15,899,6,19,1583,18,294,4,3452,14,1,3374,4,3564,371,5,3211,4,334,9,7,472,46,1887,2,1984,15,5285,244,187,3,1,894,3464,3,1808,590,46,3598,2,1268,235,970,1
"labels8516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,462,8,41,94,163,9,17,213,3,272,80,5,41,45,5,36,48,2,58,20,438,22,253,1286,1058,14,79,135,5,1373,45,1
"labels8517",0,0,0,0,0,0,0,0,0,9,17,213,3,272,80,5,41,45,5,36,48,2,58,20,438,22,253,1286,1058,14,79,135,5,1373,45,41,94,163,22,748,157,438,4,53,3,14,558,13,840,829,2,462,4,184,1
"labels8518",99,313,770,2250,3,30,2,162,1,140,772,5,12,238,451,465,81,2,1347,1972,28,444,23,829,5,453,3,192,438,10,22,3405,3737,14,79,140,5,74,171,1,6569,2,23,2137,50,1967,137,18,67,683,2962,368,15133,133,1
"labels8519",4,31,50,22,884,1,532,8,6,851,4,109,5,415,3,56,8,6,175,177,37,912,13,29,1785,37,349,26,11,1385,3,57,1028,21,6,318,2395,2,771,4,147,61,79,50,354,978,3,1,735,116,1598,4855,17,3190,1
"labels8520",1028,21,6,318,2395,2,771,4,147,61,79,50,354,978,3,1,735,116,1598,4855,17,3190,1470,7913,5,7069,6,2895,27,1,516,14,1,1840,4,1,266,3,1158,3486,4,2745,3,95,1,516,4939,10,39,467,38,62,29,4573,1
"labels8521",7913,5,7069,6,2895,27,1,516,14,1,1840,4,1,266,3,1158,3486,4,2745,3,95,1,516,4939,10,39,467,38,62,29,4573,1946,3,192,6,24,14563,581,266,95,824,8171,667,3,1,642,52,10,2914,3210,86,698,364,147,1
"labels8522",227,294,4,3177,874,8,101,18,743,1,160,4,349,15,317,349,874,15,334,87,758,874,178,143,1938,2,1,269,3,129,874,817,1,378,368,419,4,1,103,1530,178,948,3,57,1108,635,1,6339,1061,2,192,6,4071,874,1
"labels8523",817,1,378,368,419,4,1,103,1530,178,948,3,57,1108,635,1,6339,1061,2,192,6,4071,874,9,7,34,7171,756,17,4,142,152,2,30,278,583,15,6864,361,1,9326,2,2445,756,2,202,219,113,4,1,2,69,184,756,1
"labels8524",1,103,1530,178,948,3,57,1108,635,1,6339,1061,2,192,6,4071,874,9,7,34,7171,756,17,4,142,152,2,30,278,583,15,6864,361,1,9326,2,2445,756,2,202,219,113,4,1,2,69,184,756,1860,6,430,847,4,143,1
"labels8525",971,4,6,99,313,6051,344,1,1262,3148,4,1,344,92,16,3,1625,1,430,143,603,15,888,1538,3156,5,3951,4,99,358,3,401,6,430,524,847,4,281,2,68,1717,564,842,3,1,550,8,5107,3,99,358,316,4,948,1
"labels8526",0,0,0,0,0,0,9,7,49,3285,1,1413,1615,8,106,642,2156,27,3,1413,1,221,20,1758,1,642,2156,419,3,3845,150,574,31,1726,184,1017,4373,33,57,4,419,3095,1,3517,9,7,2421,1,106,642,761,8,63,1410,1
"labels8527",189,1447,5,1,99,549,139,2,275,26,14,6,274,3125,13,6,1227,3,231,1,675,4,260,2,897,143,508,9,7,1064,262,899,3574,14,6,1056,518,29,1473,8,1,665,1417,3,157,6,19,294,4,3452,1769,3,244,255,1
"labels8528",2417,6,210,4,1,2771,67,460,4,1,470,663,18,1481,601,13,6,1227,3,231,10,1,601,17,135,2,38,202,290,4492,9,7,87,80,21,72,12,126,10836,3,728,126,1423,1195,4,3475,2,179,610,4611,1685,13,661,437,1
"labels8529",52,11,5,6,106,4,479,1,221,20,2,1347,1972,447,108,22,6840,47,6,237,2923,2179,36,116,10,3420,1,1706,297,1321,14,614,10013,544,900,57,8,4745,538,468,1930,2,75,297,1,4920,603,3,3429,3671,2,918,23,372,1
"labels8530",3,237,259,6872,14,1,172,4,2572,379,102,29,2634,6746,4,1060,1216,5,309,544,17,1462,10826,14,696,3,157,2,2269,2,680,1,9560,4,1,52,3,409,13,4149,2039,11794,445,5,12,783,913,2,1937,56,25,11,38,3298,1
"labels8531",11,1,1293,1470,3669,32,6,3645,2,3522,66,3,196,83,423,802,671,21,2576,5,1,1939,2140,89,2841,97,8,36,15,2894,2567,179,304,15,615,4,1,41,13,41,304,3273,13,97,4,304,9,43,464,353,219,718,2,1463,1
"labels8532",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,43,196,24,8,1,364,5,20,9,7,367,25,66,2,7,16,3207,15,908,164,1,36,52,13,44,9,510,25,140,604,1814,1,307,31,1166,1609,380,1
"labels8533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,9,7,367,25,66,2,7,16,3207,15,908,164,1,36,52,13,44,9,510,25,140,604,1814,1,307,31,1166,1609,380,919,1
"labels8534",3,458,133,671,9,7,87,304,14,36,56,15,334,115,3,762,27,6,2179,237,2923,36,52,413,802,671,9,7,1041,98,247,133,1073,56,33,6,294,4,820,6,2712,4,6,42,24,31,284,63,2,133,2092,681,8,28,1
"labels8535",802,671,9,7,1041,98,247,133,1073,56,33,6,294,4,820,6,2712,4,6,42,24,31,284,63,2,133,2092,681,8,28,9,7,207,237,2923,76,3,614,56,136,900,502,2,409,13,1,14112,479,15,317,55,8,2578,475,1
"labels8536",0,9,7,87,55,8,785,137,15,334,2,192,6,10621,5797,46,9,7,166,29,326,1364,2590,721,2,62,8,29,2601,3,174,14,654,1012,4,2329,8923,2,4294,693,9,7,2073,1,372,4,28,137,1319,5,1,1648,4,671,1
"labels8537",0,0,0,0,0,0,9,7,2073,1,372,4,28,137,1319,5,1,1648,4,671,9,7,87,55,3,1,41,1677,116,3,285,26,3,196,91,3270,5,227,2,9,7,205,628,1,802,1450,4,1677,56,2,116,266,317,489,1
"labels8538",0,0,0,0,0,0,0,0,317,489,9,7,2486,244,1373,36,163,61,3131,1066,4600,5727,2,3273,36,1190,9,7,87,1,204,4,614,2249,72,4,1,560,27,1,221,209,4,380,60,3,13,6,1227,3,205,1402,25,2968,1
"labels8539",0,0,0,0,0,0,0,0,0,9,7,87,1,204,4,614,2249,72,4,1,560,27,1,221,209,4,380,60,3,13,6,1227,3,205,1402,25,2968,9,7,87,2264,155,2249,15,9,7,87,155,82,619,2,155,56,2843,1
"labels8540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,87,2264,155,2249,15,9,7,87,155,82,619,2,155,56,2843,9,7,590,1,479,5,1937,56,15,4707,244,4600,2,9213,1
"labels8541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,87,155,82,619,2,155,56,2843,9,7,590,1,479,5,1937,56,15,4707,244,4600,2,9213,2857,256,671,1
"labels8542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2857,256,671,9,7,87,1,256,36,220,9,7,1027,1,2506,4,1052,479,1143,1066,8908,1
"labels8543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,87,1,256,36,220,9,7,1027,1,2506,4,1052,479,1143,1066,8908,9,7,2486,256,36,1066,1808,3,8561,13,2865,45,5459,13,5,63,103,1
"labels8544",0,0,0,0,0,9,7,87,1,204,4,6937,177,2,5887,2249,3,207,1,4626,4540,4,75,3,1479,5736,1294,9,7,87,482,8,31,13,256,36,3065,2,87,55,8,2169,5,324,56,44,461,32,176,900,2148,590,1156,3276,1
"labels8545",29,2980,468,1298,3,132,177,13,6,714,1785,37,349,2,590,1,330,5806,15,899,6,19,401,468,1298,8,1644,13,608,154,14,468,74,9,7,1175,1,334,1394,8,1,113,4,783,913,2,1,334,72,540,1394,8,6937,56,1
"labels8546",1,330,5806,15,899,6,19,401,468,1298,8,1644,13,608,154,14,468,74,9,7,1175,1,334,1394,8,1,113,4,783,913,2,1,334,72,540,1394,8,6937,56,9,7,185,5,12,4310,45,13,29,244,1935,7172,2,244,496,1
"labels8547",0,0,0,0,0,0,0,9,7,1175,1,334,1394,8,1,113,4,783,913,2,1,334,72,540,1394,8,6937,56,9,7,185,5,12,4310,45,13,29,244,1935,7172,2,244,496,9,7,1171,349,45,61,4571,56,2,256,671,1
"labels8548",0,0,0,0,0,0,0,0,0,0,9,7,185,5,12,4310,45,13,29,244,1935,7172,2,244,496,9,7,1171,349,45,61,4571,56,2,256,671,9,7,30,574,31,15,317,155,82,619,4571,619,2,254,244,2264,155,2249,1
"labels8549",254,244,2264,155,2249,9,7,1458,8,6,1265,3,1548,1,11576,1296,5,415,3,62,8,6,3040,3,505,6,5916,4,6,3334,118,2207,200,11,33,382,37,5,4827,3323,2,5,1012,4,2677,37,21,181,21,5,1012,4,6286,12397,1
"labels8550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,89,32,88,6,2200,9,201,22,6,35,783,2,9,74,6,35,911,4740,1,126,479,1111,333,7,1
"labels8551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,201,22,6,35,783,2,9,74,6,35,911,4740,1,126,479,1111,333,7,126,7,16,103,4,1470,3669,18,259,787,5,20,1
"labels8552",0,0,0,0,0,0,0,0,0,0,0,99,2,325,126,9,7,2202,480,8,730,3,408,1,106,610,4,126,1667,3,6,430,4,25,7,34,6,173,4,33,525,99,1294,2,33,525,160,1439,2,160,1772,126,1294,15,1
"labels8553",101,172,3419,3,99,2,325,126,14,28,19,1665,13,99,2,33,525,325,126,9,7,34,10,28,126,760,822,15,1,106,11,1182,5,3246,3253,1665,4,99,126,13,9350,2807,7745,126,160,1772,2,160,1439,1709,265,117,2,4718,1
"labels8554",172,3419,3,99,2,325,126,14,28,19,1665,13,99,2,33,525,325,126,9,7,34,10,28,126,760,822,15,1,106,11,1182,5,3246,3253,1665,4,99,126,13,9350,2807,7745,126,160,1772,2,160,1439,1709,265,117,2,4718,2807,1
"labels8555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,243,508,5131,508,9,7,207,1,724,4,1566,10383,2640,27,126,900,2148,9,7,628,1,4471,290,266,3,319,6161,2,3304,2778,2,87,55,3,1,1061,52,1
"labels8556",27,3521,8,399,4145,8,205,126,1665,9,7,34,10,118,2389,17,1325,3,22,14357,253,1602,33,382,5,23,5359,54,2052,222,823,455,2,264,3882,7,16,1437,203,79,2389,2,6,962,253,5,275,3,561,108,27,222,107,1665,1
"labels8557",9,7,68,29,244,334,42,270,3,2,2865,552,3,746,1,2865,5,783,1188,5,63,103,4,20,9,7,55,3,58,576,13,6,265,903,400,4,3680,361,612,2,254,4139,1188,13,1278,8,79,50,3151,3,173,538,4139,1188,1
"labels8558",20,9,7,55,3,58,576,13,6,265,903,400,4,3680,361,612,2,254,4139,1188,13,1278,8,79,50,3151,3,173,538,4139,1188,9,7,183,802,1445,2,2038,14479,1862,78,19,1131,43,4102,31,13,608,2,861,14,107,2746,217,1
"labels8559",9,7,183,802,1445,2,2038,14479,1862,78,19,1131,43,4102,31,13,608,2,861,14,107,2746,217,9,7,798,4605,14,3199,1526,99,126,182,39,17,6407,14,6,1481,13,23,1763,13561,21,4239,98,5,1470,3669,18,431,377,1296,513,1
"labels8560",608,2,861,14,107,2746,217,9,7,798,4605,14,3199,1526,99,126,182,39,17,6407,14,6,1481,13,23,1763,13561,21,4239,98,5,1470,3669,18,431,377,1296,513,9,7,87,55,8,431,377,5889,15,334,42,5,63,103,4,20,1
"labels8561",146,26,1036,6,106,18,749,52,43,16,6,1286,1583,82,13,1,36,2,256,65,4,12,4837,75,1148,288,541,147,3,76,1,532,2,16,6,655,2334,4,67,141,25,20,287,1,374,32,371,8544,116,3,1,657,4,749,1
"labels8562",594,288,9,7,628,1937,218,15,1357,2,285,10,3374,3,16,748,15,1522,1530,33,1,207,4,1,221,1357,1937,481,9,7,196,1357,4,1937,37,1145,481,3,16,1202,15,317,1937,218,15,1357,5,284,4,1,3292,57,4,20,1
"labels8563",1,207,4,1,221,1357,1937,481,9,7,196,1357,4,1937,37,1145,481,3,16,1202,15,317,1937,218,15,1357,5,284,4,1,3292,57,4,20,9,7,87,1,294,4,1937,218,371,3,285,2593,3,5184,4,23,481,297,264,3150,1
"labels8564",1357,4,1937,37,1145,481,3,16,1202,15,317,1937,218,15,1357,5,284,4,1,3292,57,4,20,9,7,87,1,294,4,1937,218,371,3,285,2593,3,5184,4,23,481,297,264,3150,9,7,87,26,3,334,72,795,3,1653,13,1
"labels8565",1,294,4,1937,218,371,3,285,2593,3,5184,4,23,481,297,264,3150,9,7,87,26,3,334,72,795,3,1653,13,9,7,1160,1134,904,8,749,217,33,334,72,795,2,762,3,334,72,795,334,72,1728,47,1,189,4,20,1
"labels8566",0,0,0,0,0,9,7,87,26,3,334,72,795,3,1653,13,9,7,1160,1134,904,8,749,217,33,334,72,795,2,762,3,334,72,795,334,72,1728,47,1,189,4,20,9,7,205,136,288,904,5,6,680,189,4,20,1
"labels8567",0,0,0,0,0,0,0,0,0,0,0,9,7,1160,1134,904,8,749,217,33,334,72,795,2,762,3,334,72,795,334,72,1728,47,1,189,4,20,9,7,205,136,288,904,5,6,680,189,4,20,749,163,125,2,1535,1
"labels8568",0,0,0,9,7,628,1,5018,139,3,30,5759,3,209,2,1535,9,7,2358,6,139,4,334,42,47,57,8,25,9,7,367,125,2,258,8,177,215,163,2,2417,592,413,1729,18,13,1142,2704,10,62,8,10193,399,2,4426,1
"labels8569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,62,29,244,10764,3,1,14531,229,2,244,120,148,8,28,749,872,135,13,75,13,469,120,152,2,849,1
"labels8570",63,15,334,72,795,3,334,2,15,334,8,1,310,5867,294,3,334,9,7,463,53,1,69,749,266,78,10,1,55,3709,1,177,38,1,1380,9,7,628,1,69,749,8749,266,15,202,2881,600,270,5,4871,860,336,57,45,1
"labels8571",628,1,69,749,8749,266,15,202,2881,600,270,5,4871,860,336,57,45,9,7,367,1,1156,2506,4,2,54,2904,749,2196,9,7,34,3749,5,1448,258,2,1319,159,4364,45,2,56,644,3,34,152,2,258,43,16,1202,5,482,1
"labels8572",0,9,7,34,3749,5,1448,258,2,1319,159,4364,45,2,56,644,3,34,152,2,258,43,16,1202,5,482,9,7,210,289,552,3,34,10,39,17,4843,497,2,3,1226,161,3715,4,40,9,7,87,1,204,4,8673,5159,15,1
"labels8573",40,9,7,87,1,204,4,8673,5159,15,9,7,762,3,6,912,3256,38,116,3256,291,3,5476,254,6,109,1385,5046,2214,2841,3,34,1101,1377,4,625,7876,8,135,13,75,95,49,3,2534,1,969,4,215,5476,8,284,19,951,1
"labels8574",7,87,1,204,4,8673,5159,15,9,7,762,3,6,912,3256,38,116,3256,291,3,5476,254,6,109,1385,5046,2214,2841,3,34,1101,1377,4,625,7876,8,135,13,75,95,49,3,2534,1,969,4,215,5476,8,284,19,951,1,214,1
"labels8575",0,0,0,0,0,9,7,192,1484,564,430,55,3,537,69,2,1056,493,3,66,1043,9,7,192,1973,5751,21,2782,5,1,968,1546,4,25,2841,9,7,1426,1,3159,122,3,62,8,1,1313,4,321,125,1199,21,6,4524,970,1
"labels8576",3160,5,2,4,893,9,7,192,1187,508,54,1142,30,496,936,2,2372,1709,55,3,2486,1317,2,30,3035,9,7,30,1883,2620,8,28,69,2,1056,94,163,50,461,127,38,22,1,696,3,1942,23,157,2,462,14,6,1883,518,1
"labels8577",848,1,229,7,341,14,666,2,336,1342,1172,135,3,130,693,5,48,36,2,256,36,8,28,75,175,31,2,104,5,145,13,142,327,4,2771,67,2134,1,229,7,426,15,3214,19,1483,145,164,1,106,61,1063,55,8,10354,1
"labels8578",341,14,666,2,336,1342,1172,135,3,130,693,5,48,36,2,256,36,8,28,75,175,31,2,104,5,145,13,142,327,4,2771,67,2134,1,229,7,426,15,3214,19,1483,145,164,1,106,61,1063,55,8,10354,29,28,1121,291,1
"labels8579",160,4,349,9,7,1653,3,743,1,160,4,349,15,317,349,874,15,334,9,7,628,29,2980,227,468,1298,3,132,177,4315,8,1,10945,56,874,2,192,6,401,468,1298,8,31,13,608,7941,27,466,3,1538,1892,37,184,811,1
"labels8580",7,628,29,2980,227,468,1298,3,132,177,4315,8,1,10945,56,874,2,192,6,401,468,1298,8,31,13,608,7941,27,466,3,1538,1892,37,184,811,25,11,524,2290,1,468,1298,52,7,105,3,5806,31,13,608,5,725,2,330,1
"labels8581",628,29,2980,227,468,1298,3,132,177,4315,8,1,10945,56,874,2,192,6,401,468,1298,8,31,13,608,7941,27,466,3,1538,1892,37,184,811,25,11,524,2290,1,468,1298,52,7,105,3,5806,31,13,608,5,725,2,330,184,1
"labels8582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,56,9,7,87,80,5,349,788,45,661,8732,619,2,4571,56,45,21,416,8,5,1470,3669,18,36,89,48,1
"labels8583",0,126,9,7,68,114,55,21,1,126,2746,1061,8,31,13,608,7695,3,1056,126,552,2,179,2545,50,17,2714,3,2670,3,1,981,4,6,176,189,4904,9,7,285,1812,4,58,576,3,1873,1,126,2746,1061,8,31,13,608,1
"labels8584",2545,50,17,2714,3,2670,3,1,981,4,6,176,189,4904,9,7,285,1812,4,58,576,3,1873,1,126,2746,1061,8,31,13,608,9,7,183,802,1445,2,2038,14479,1862,78,19,1131,43,4102,31,13,608,2,861,14,107,2746,217,1
"labels8585",0,0,0,0,9,7,285,1812,4,58,576,3,1873,1,126,2746,1061,8,31,13,608,9,7,183,802,1445,2,2038,14479,1862,78,19,1131,43,4102,31,13,608,2,861,14,107,2746,217,9,7,192,35,258,8,30,8,126,2746,1
"labels8586",0,0,0,9,7,192,35,258,8,30,8,126,2746,1,217,4,25,85,16,5253,2,272,8672,318,1079,13,1,349,4328,4,137,2,73,1551,9,7,183,28,137,1172,8,1188,8,31,13,2291,608,2,8,31,50,769,256,1785,1
"labels8587",4866,3,1433,193,6,1424,6399,25,266,7,30,1,1439,4,7342,897,6292,44,92,1122,1,221,204,2,408,250,3,820,4,28,41,116,1453,3142,9,7,1041,98,76,137,206,6,296,117,229,3,68,28,41,206,45,458,7342,897,1
